ticker,date,period_ending,estimate,reported,surprise,surprise%
TPG,11/4/2024,9/30/2024,0.4488,0.45,0.0012,0.2674
TPH,10/24/2024,9/30/2024,1.07,1.18,0.11,10.2804
TPIC,11/7/2024,9/30/2024,-0.15,-0.84,-0.69,-460.0000
TPL,11/6/2024,9/30/2024,5.35,4.6321,-0.7179,-13.4187
TPR,11/7/2024,9/30/2024,0.95,1.02,0.07,7.3684
TRC,11/5/2024,9/30/2024,-0.01,-0.07,-0.06,-600.0000
TRDA,11/5/2024,9/30/2024,-0.625,-0.35,0.275,44.0000
TREE,10/31/2024,9/30/2024,0.66,0.8,0.14,21.2121
TREX,10/28/2024,9/30/2024,0.32,0.37,0.05,15.6250
TRGP,11/5/2024,9/30/2024,1.55,1.74,0.19,12.2581
TRIP,11/6/2024,9/30/2024,0.44,0.5,0.06,13.6364
TRMB,11/6/2024,9/30/2024,0.62,0.7,0.08,12.9032
TRMK,10/22/2024,9/30/2024,0.82,0.84,0.02,2.4390
TRML,11/12/2024,9/30/2024,-0.82,-0.78,0.04,4.8780
TRN,10/31/2024,9/30/2024,0.38,0.37,-0.01,-2.6316
TRNO,11/6/2024,9/30/2024,0.36,0.37,0.01,2.7778
TRNS,10/28/2024,9/30/2024,0.46,0.35,-0.11,-23.9130
TROW,11/1/2024,9/30/2024,2.33,2.57,0.24,10.3004
TROX,10/24/2024,9/30/2024,0.16,-0.13,-0.29,-181.2500
TRS,11/4/2024,9/30/2024,0.53,0.43,-0.1,-18.8679
TRTX,10/29/2024,9/30/2024,0.27,0.28,0.01,3.7037
TRU,10/23/2024,9/30/2024,1.01,1.04,0.03,2.9703
TRUE,11/6/2024,9/30/2024,-0.06,-0.06,0,0.0000
TRUP,10/30/2024,9/30/2024,-0.06,0.03,0.09,150.0000
TRV,10/17/2024,9/30/2024,3.55,5.24,1.69,47.6056
TSCO,10/24/2024,9/30/2024,2.24,2.24,0,0.0000
TSHA,11/12/2024,9/30/2024,-0.09,-0.0712,0.0188,20.8889
TSLA,10/23/2024,9/30/2024,0.58,0.72,0.14,24.1379
TSN,11/11/2024,9/30/2024,0.6884,0.92,0.2316,33.6432
TSVT,11/12/2024,9/30/2024,-0.24,-0.1901,0.0499,20.7917
TT,10/30/2024,9/30/2024,3.25,3.37,0.12,3.6923
TTC,12/18/2024,10/31/2024,0.95,0.95,0,0.0000
TTD,11/7/2024,9/30/2024,0.39,0.41,0.02,5.1282
TTEC,11/6/2024,9/30/2024,0.14,0.11,-0.03,-21.4286
